ANP_CATE,ANP_UBPO,ANP_NOMB
Reserva Nacional,Lima,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Salinas, Isla Huampanú e Isla Mazorca"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islote Grupo de Pescadores"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Cavinzas e Islotes Palominos"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Pachacamac"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Asia"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Chincha Norte, Centro y Sur"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Ballestas Norte, Centro y Sur"
Reserva Nacional,Ica,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Lomitas"
Reserva Nacional,Ica,"Sistema de Islas, Islotes y Puntas Guaneras - Punta San Juan"
Reserva Nacional,Arequipa,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Lomas"
Reserva Nacional,Arequipa,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Atico"
Reserva Nacional,Arequipa,"Sistema de Islas, Islotes y Puntas Guaneras - Punta La Chira"
Reserva Nacional,Arequipa,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Hornillos"
Reserva Nacional,Moquegua,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Coles"
Reserva Nacional,Loreto,Pucacuro
Reserva Nacional,Ica,San Fernando
Reserva Nacional,Piura,Illescas
Reserva Paisajistica,Lima y Junín,Nor Yauyos-Cochas
Reserva Paisajistica,Arequipa,Subcuenca del Cotahuasi
Santuario Histórico,Junín,de Chacamarca
Santuario Histórico,Ayacucho,de la Pampa de Ayacucho
Santuario Histórico,Cusco,Machupicchu
Santuario Histórico,Lambayeque,Bosque de Pomac
Santuario Nacional,Pasco,de Huayllay
Santuario Nacional,La Libertad,de Calipuy
Santuario Nacional,Arequipa,Lagunas de Mejía
Santuario Nacional,Apurímac,de Ampay
Santuario Nacional,Tumbes,los Manglares de Tumbes
Santuario Nacional,Cusco,Megantoni
Santuario Nacional,Junín,Pampa Hermosa
Santuario Nacional,Cajamarca,Tabaconas-Namballe
Santuario Nacional,Amazonas,Cordillera de Colán
